"Date","Number of Sales"
"2020-12-27",7438
"2020-12-28",7445
"2020-12-29",7456
"2020-12-30",7467
"2020-12-31",7493
"2021-01-01",7496
"2021-01-02",7501
"2021-01-03",7506
"2021-01-04",7519
"2021-01-05",7537
"2021-01-06",7555
"2021-01-07",7573
"2021-01-08",7585
"2021-01-09",7592
"2021-01-10",7612
"2021-01-11",7625
"2021-01-12",7641
"2021-01-13",7665
"2021-01-14",7679
"2021-01-15",7685
"2021-01-16",7694
"2021-01-17",7696
"2021-01-18",7711
"2021-01-19",7715
"2021-01-20",7720
"2021-01-21",7731
"2021-01-22",7739
"2021-01-23",7765
"2021-01-24",7793
"2021-01-25",7815
"2021-01-26",7841
"2021-01-27",7911
"2021-01-28",7927
"2021-01-29",7936
"2021-01-30",7955
"2021-01-31",7968
"2021-02-01",8000
"2021-02-02",8029
"2021-02-03",8063
"2021-02-04",8093
"2021-02-05",8118
"2021-02-06",8135
"2021-02-07",8146
"2021-02-08",8195
"2021-02-09",8247
"2021-02-10",8268
"2021-02-11",8301
"2021-02-12",8319
"2021-02-13",8401
"2021-02-14",8593
"2021-02-15",8701
"2021-02-16",8776
"2021-02-17",8953
"2021-02-18",9085
"2021-02-19",9195
"2021-02-20",9297
"2021-02-21",9569
"2021-02-22",9754
"2021-02-23",9834
"2021-02-24",9902
"2021-02-25",9940
"2021-02-26",9963
"2021-02-27",10006
"2021-02-28",10056
"2021-03-01",10084
"2021-03-02",10129
"2021-03-03",10171
"2021-03-04",10205
"2021-03-05",10261
"2021-03-06",10282
"2021-03-07",10316
"2021-03-08",10352
"2021-03-09",10381
"2021-03-10",10407
"2021-03-11",10524
"2021-03-12",10651
"2021-03-13",10705
"2021-03-14",10766
"2021-03-15",10841
"2021-03-16",10885
"2021-03-17",10939
"2021-03-18",10990
"2021-03-19",11039
"2021-03-20",11088
"2021-03-21",11152
"2021-03-22",11178
"2021-03-23",11224
"2021-03-24",11245
"2021-03-25",11260
"2021-03-26",11275
"2021-03-27",11321
"2021-03-28",11362
"2021-03-29",11380
"2021-03-30",11442
"2021-03-31",11469
"2021-04-01",11500
"2021-04-02",11519
"2021-04-03",11539
"2021-04-04",11563
"2021-04-05",11611
"2021-04-06",11642
"2021-04-07",11672
"2021-04-08",11836
"2021-04-09",11918
"2021-04-10",11956
"2021-04-11",12019
"2021-04-12",12083
"2021-04-13",12159
"2021-04-14",12209
"2021-04-15",12263
"2021-04-16",12305
"2021-04-17",12353
"2021-04-18",12389
"2021-04-19",12451
"2021-04-20",12504
"2021-04-21",12534
"2021-04-22",12570
"2021-04-23",12667
"2021-04-24",12689
"2021-04-25",12705
"2021-04-26",12737
"2021-04-27",12779
"2021-04-28",12811
"2021-04-29",12836
"2021-04-30",12862
"2021-05-01",12891
"2021-05-02",12930
"2021-05-03",13100
"2021-05-04",13159
"2021-05-05",13186
"2021-05-06",13210
"2021-05-07",13225
"2021-05-08",13250
"2021-05-09",13275
"2021-05-10",13299
"2021-05-11",13337
"2021-05-12",13367
"2021-05-13",13417
"2021-05-14",13441
"2021-05-15",13456
"2021-05-16",13466
"2021-05-17",13477
"2021-05-18",13485
"2021-05-19",13499
"2021-05-20",13509
"2021-05-21",13521
"2021-05-22",13537
"2021-05-23",13547
"2021-05-24",13563
"2021-05-25",13578
"2021-05-26",13591
"2021-05-27",13601
"2021-05-28",13617
"2021-05-29",13626
"2021-05-30",13637
"2021-05-31",13644
"2021-06-01",13656
"2021-06-02",13668
"2021-06-03",13678
"2021-06-04",13682
"2021-06-05",13683
"2021-06-06",13690
"2021-06-07",13697
"2021-06-08",13711
"2021-06-09",13716
"2021-06-10",13732
"2021-06-11",13754
"2021-06-12",13759
"2021-06-13",13762
"2021-06-14",13765
"2021-06-15",13775
"2021-06-16",13789
"2021-06-17",13805
"2021-06-18",13812
"2021-06-19",13818
"2021-06-20",13827
"2021-06-21",13841
"2021-06-22",13856
"2021-06-23",13871
"2021-06-24",13880
"2021-06-25",13903
"2021-06-26",13923
"2021-06-27",13936
"2021-06-28",13972
"2021-06-29",14075
"2021-06-30",14097
"2021-07-01",14120
"2021-07-02",14180
"2021-07-03",14194
"2021-07-04",14264
"2021-07-05",14343
"2021-07-06",14373
"2021-07-07",14419
"2021-07-08",14446
"2021-07-09",14494
"2021-07-10",14518
"2021-07-11",14568
"2021-07-12",14601
"2021-07-13",14648
"2021-07-14",14672
"2021-07-15",14697
"2021-07-16",14741
"2021-07-17",14783
"2021-07-18",14811
"2021-07-19",14832
"2021-07-20",14850
"2021-07-21",14872
"2021-07-22",14890
"2021-07-23",14908
"2021-07-24",14929
"2021-07-25",14950
"2021-07-26",15005
"2021-07-27",15034
"2021-07-28",15058
"2021-07-29",15101
"2021-07-30",15329
"2021-07-31",15628
"2021-08-01",15883
"2021-08-02",15924
"2021-08-03",15999
"2021-08-04",16128
"2021-08-05",16341
"2021-08-06",16552
"2021-08-07",16600
"2021-08-08",16634
"2021-08-09",16660
"2021-08-10",16704
"2021-08-11",16743
"2021-08-12",16769
"2021-08-13",16782
"2021-08-14",16801
"2021-08-15",16828
"2021-08-16",16847
"2021-08-17",16866
"2021-08-18",16893
"2021-08-19",16921
"2021-08-20",16965
"2021-08-21",17001
"2021-08-22",17036
"2021-08-23",17384
"2021-08-24",17485
"2021-08-25",17553
"2021-08-26",17593
"2021-08-27",17785
"2021-08-28",18089
"2021-08-29",18182
"2021-08-30",18213
"2021-08-31",18236
"2021-09-01",18259
"2021-09-02",18280
"2021-09-03",18301
"2021-09-04",18320
"2021-09-05",18332
"2021-09-06",18345
"2021-09-07",18361
"2021-09-08",18367
"2021-09-09",18372
"2021-09-10",18382
"2021-09-11",18391
"2021-09-12",18400
"2021-09-13",18411
"2021-09-14",18418
"2021-09-15",18434
"2021-09-16",18520
"2021-09-17",18527
"2021-09-18",18529
"2021-09-19",18537
"2021-09-20",18546
"2021-09-21",18556
"2021-09-22",18566
"2021-09-23",18585
"2021-09-24",18614
"2021-09-25",18640
"2021-09-26",18651
"2021-09-27",18658
"2021-09-28",18676
"2021-09-29",18697
"2021-09-30",18741
"2021-10-01",18788
"2021-10-02",18805
"2021-10-03",18817
"2021-10-04",18844
"2021-10-05",18859
"2021-10-06",18865
"2021-10-07",18870
"2021-10-08",18879
"2021-10-09",18882
"2021-10-10",18887
"2021-10-11",18894
"2021-10-12",18903
"2021-10-13",18909
"2021-10-14",18917
"2021-10-15",18926
"2021-10-16",18935
"2021-10-17",18948
"2021-10-18",18953
"2021-10-19",18962
"2021-10-20",18976
"2021-10-21",18987
"2021-10-22",18996
"2021-10-23",19010
"2021-10-24",19019
"2021-10-25",19030
"2021-10-26",19039
"2021-10-27",19050
"2021-10-28",19064
"2021-10-29",19081
"2021-10-30",19088
"2021-10-31",19094
"2021-11-01",19103
"2021-11-02",19108
"2021-11-03",19120
"2021-11-04",19129
"2021-11-05",19132
"2021-11-06",19145
"2021-11-07",19155
"2021-11-08",19168
"2021-11-09",19178
"2021-11-10",19194
"2021-11-11",19207
"2021-11-12",19216
"2021-11-13",19227
"2021-11-14",19252
"2021-11-15",19269
"2021-11-16",19279
"2021-11-17",19291
"2021-11-18",19300
"2021-11-19",19306
"2021-11-20",19313
"2021-11-21",19321
"2021-11-22",19330
"2021-11-23",19334
"2021-11-24",19334
"2021-11-25",19334
